Ticker,Total_Trades,CAGR_%,Total_Return_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Max_Win_%,Std_Dev_%,Qualified,Qualification_Reason,Reason
GEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,No trades
BKNG,7,-0.10286929468934503,-0.5152584472655508,28.57142857142857,38.25523029756955,-12.034824718750441,56.41564979885978,26.917792730110907,False,Does not meet criteria,
LDOS,6,-0.10429671747448355,-0.5223932304381742,16.666666666666664,45.25255440567816,-10.21587799103757,45.25255440567816,23.087100124671295,True,Avg Win 45.3% ≥40%,
ITW,3,-0.11454413818833276,-0.573601573181113,66.66666666666666,7.115621879479143,-10.532065902595036,8.817168803770576,10.3299995137184,False,Does not meet criteria,
ADI,6,-0.188588067539186,-0.9429864440917664,50.0,7.272540757262337,-12.7822445650756,11.723580291895667,11.516107890450227,False,Does not meet criteria,
ADP,5,-0.19443407476535945,-0.9721036987304251,40.0,18.29822668728724,-10.766706153506705,24.19358213414628,16.514022756679374,False,Does not meet criteria,
ODFL,6,-0.245343657188013,-1.2253798534392446,33.33333333333333,26.87343279446979,-11.552910465596947,39.71213491874839,21.449178188684773,False,Does not meet criteria,
MNST,5,-0.2964244743985489,-1.4789862949371129,20.0,9.66185925966494,-11.045652067924777,9.66185925966494,9.513940304509646,False,Does not meet criteria,
MAS,5,-0.32302423257229984,-1.6108423709869022,40.0,15.763350755591944,-9.378162035138939,27.596313957713615,16.572549804400243,False,Does not meet criteria,
VICI,5,-0.3501203859027968,-1.7450137681960405,40.0,8.944289443546904,-6.012235479632904,10.099926978243898,9.00336202550276,False,Does not meet criteria,
UBER,7,-0.38616071536767826,-1.923246754836982,14.285714285714285,95.43833195770151,-10.729888706290053,95.43833195770151,40.43168926133267,True,"Std Dev 40.4% ≥30%, Avg Win 95.4% ≥40%",
IP,5,-0.49631410636423734,-2.4663924369811685,40.0,23.665305465297102,-13.284585542066347,41.599783005501436,23.931380665815798,False,Does not meet criteria,
LNT,4,-0.5141547910903821,-2.554134394264165,25.0,8.248257873484468,-12.37861594409607,8.248257873484468,10.633039159221527,False,Does not meet criteria,
AMGN,5,-0.6321974312656464,-3.133086509704572,40.0,6.887813072583455,-9.151326307978769,9.42581790959103,9.005270610124594,False,Does not meet criteria,
CMS,3,-0.661942727107645,-3.278539942169154,0.0,0.0,-8.706121484949717,-2.824603910116537,5.384779391854856,False,Does not meet criteria,
TSN,5,-0.6971141394727431,-3.4503011734008036,40.0,13.464891232904115,-9.088183538057946,21.317669506239717,13.556351650128798,False,Does not meet criteria,
GEHC,2,-0.7096423345559932,-3.5114241668700927,0.0,0.0,-4.277326842123246,-0.6473041669143692,5.133627299002259,False,Does not meet criteria,
PLD,5,-0.8674630308802778,-4.2787550823211316,20.0,26.81398300415937,-9.615426515236823,26.81398300415937,16.48640558022348,False,Does not meet criteria,
A,5,-1.08515988605562,-5.329179569625739,40.0,7.479743874441977,-8.838521592989634,13.992502252759333,10.523801910721291,False,Does not meet criteria,
PCG,4,-1.1202406374421159,-5.497583105850172,25.0,24.715420505712263,-6.67716563035903,24.715420505712263,18.138022407083074,False,Does not meet criteria,
LYB,3,-1.156843800940155,-5.673039104843119,66.66666666666666,2.9070722364076675,-10.946219462713675,3.8981670671330857,8.059373379103702,False,Does not meet criteria,
XEL,4,-1.2273357231745274,-6.010204757499687,0.0,0.0,-8.322434159613797,-4.29009841403771,3.4296754667580136,False,Does not meet criteria,
PODD,5,-1.229263617230436,-6.019412374114982,20.0,0.43386047132186284,-11.314011075593003,0.43386047132186284,6.521163740809403,False,Does not meet criteria,
PEP,3,-1.2429652622402365,-6.084830585861182,33.33333333333333,23.95768122713936,-12.626872713339644,23.95768122713936,21.258561183650485,False,Does not meet criteria,
MHK,5,-1.3160333533529966,-6.433077191543543,40.0,16.433901927270455,-11.510090546034041,22.628756272231662,16.10784897670501,False,Does not meet criteria,
WEC,4,-1.3339415035124924,-6.518270455932579,0.0,0.0,-7.734932690751547,-2.032634340022214,3.918923596077938,False,Does not meet criteria,
OTIS,5,-1.3539590326200557,-6.613424998092632,40.0,11.370279308221878,-8.795645132026623,16.339606926963132,12.72708298461329,False,Does not meet criteria,
DVA,4,-1.3931081728907224,-6.799298641204805,25.0,44.43905947872233,-13.687883598855334,44.43905947872233,29.06597522207808,True,Avg Win 44.4% ≥40%,
AME,5,-1.460436643738583,-7.118270159149106,40.0,4.887141239499679,-9.159607269971817,5.736089006411045,8.392090443147518,False,Does not meet criteria,
APA,7,-1.5016601428923027,-7.313136379718727,28.57142857142857,35.499279256018006,-14.93132945156206,60.0600235998629,28.586340897028197,False,Does not meet criteria,
SPGI,6,-1.5152078555043191,-7.3771057937621665,33.33333333333333,12.787903321396943,-7.609203461374506,13.098619923865245,11.08705352310263,False,Does not meet criteria,
NEM,8,-1.541258479210117,-7.5000119411468225,12.5,1.7832107804000468,-11.837891356373774,1.7832107804000468,6.702880064510329,False,Does not meet criteria,
JNJ,5,-1.595687497127718,-7.756385118102989,20.0,3.7911683882393596,-10.474782780139748,3.7911683882393596,6.685988598034208,False,Does not meet criteria,
YUM,4,-1.6898472151140709,-8.198555224227858,50.0,3.694209278619677,-8.266348751198016,6.699061206184595,7.87630344787265,False,Does not meet criteria,
ALB,7,-1.6913303700033966,-8.205506454086226,14.285714285714285,27.151936032295538,-14.104620519031002,27.151936032295538,16.337257795484142,False,Does not meet criteria,
HPE,5,-1.719552875360364,-8.337699005603753,20.0,13.06034413419807,-8.178302670921195,13.06034413419807,10.097318319662993,False,Does not meet criteria,
LMT,4,-1.7619019879322684,-8.535773718261645,50.0,2.683882159826821,-8.362396551332793,3.12729521665532,6.506544488880521,False,Does not meet criteria,
DLTR,6,-1.8089357207281886,-8.755357406234724,16.666666666666664,25.541702100884457,-13.929677946413241,25.541702100884457,16.29827069985769,False,Does not meet criteria,
F,7,-1.8142744006833689,-8.780255093336017,14.285714285714285,68.70395753420904,-13.78544714392302,68.70395753420904,31.491306859616312,True,"Std Dev 31.5% ≥30%, Avg Win 68.7% ≥40%",
CRM,6,-1.8501334636664257,-8.947347937774575,16.666666666666664,39.17111858217299,-8.224854855773726,39.17111858217299,19.60237564512467,False,Does not meet criteria,
CMCSA,3,-1.872317353795483,-9.050595663261392,33.33333333333333,4.977403536827214,-6.823551372131005,4.977403536827214,8.044940637498028,False,Does not meet criteria,
PTC,5,-1.8782901299544075,-9.078377988815227,40.0,22.71188183534907,-11.544565266080832,42.98591283569231,23.793250031616232,False,Does not meet criteria,
ROK,5,-1.9023338147752256,-9.190148283386208,40.0,7.520749718163094,-16.249048350319384,12.36827654280049,13.90646852321074,False,Does not meet criteria,
IPG,5,-1.9109226217570607,-9.23004782295222,40.0,21.90294833455902,-12.502080902518157,42.61014131379928,23.90378185747149,False,Does not meet criteria,
AEE,5,-2.018129397057389,-9.726899733734081,20.0,6.042621742755974,-11.535310131564376,6.042621742755974,7.991370422524359,False,Does not meet criteria,
HBAN,4,-2.0298943643408007,-9.781291820812186,50.0,11.96469544649298,-18.93805006246982,12.030234631407897,19.446542325189537,False,Does not meet criteria,
CI,6,-2.0325744001205237,-9.79367855758661,33.33333333333333,12.982956240787379,-8.178058554688327,21.503897433445015,12.810564239514303,False,Does not meet criteria,
UDR,6,-2.0458330545063963,-9.854938103485074,33.33333333333333,18.078255267163744,-10.153238859970397,28.202789654809564,15.961298806127267,False,Does not meet criteria,
MDT,3,-2.0594753745077465,-9.917935538864095,33.33333333333333,0.1240900687438707,-6.447924102258912,0.1240900687438707,6.6993540678105985,False,Does not meet criteria,
STE,4,-2.067595809549372,-9.955417301177949,50.0,2.2079275364652755,-12.980313345259544,4.011067980840158,8.937533209285741,False,Does not meet criteria,
LH,5,-2.067628718554715,-9.955569174957182,20.0,26.72855476554265,-8.470917529881282,26.72855476554265,16.34846276498301,False,Does not meet criteria,
VRSN,6,-2.3532441721142106,-11.265969787597605,50.0,10.417316737391912,-12.391332365159798,29.47359382300937,16.36937508774439,False,Does not meet criteria,
VLTO,1,-2.35449899214607,-11.2716929988861,0.0,0.0,-8.689741327665391,-8.689741327665391,,False,Does not meet criteria,
CMG,6,-2.467454664318358,-11.785672215747782,33.33333333333333,30.81672813102019,-14.378264306331019,56.2595636733394,28.526410633428316,False,Does not meet criteria,
IFF,3,-2.4720710640471766,-11.806627272033657,66.66666666666666,5.280366395467752,-20.4365771317826,7.95182462871655,15.08610013290117,False,Does not meet criteria,
PFE,4,-2.631556613097419,-12.528130435943549,25.0,30.73162403974524,-12.795495601409245,30.73162403974524,21.79782923927255,False,Does not meet criteria,
ZBRA,5,-2.636403423688327,-12.549982876586855,40.0,20.172717629063694,-15.263390619023772,25.415161063234592,19.81847314239089,False,Does not meet criteria,
ACN,6,-2.8802794581352154,-13.643897659301674,33.33333333333333,13.108139490883689,-9.291027373260453,19.066594123587564,12.529977357540092,False,Does not meet criteria,
PEG,4,-2.9460858285848546,-13.93718906879418,50.0,14.587673245895232,-14.441392843871906,25.191005116506,19.115057092110003,False,Does not meet criteria,
TTWO,6,-2.95353496751668,-13.97033870162957,16.666666666666664,17.51238676279698,-14.147642180684631,17.51238676279698,13.75715548441578,False,Does not meet criteria,
SYY,3,-2.9638669091431757,-14.016300253295865,0.0,0.0,-6.940986538056318,-2.203561931381766,5.705121128584502,False,Does not meet criteria,
CHRW,7,-3.0247928923150647,-14.286929279708785,14.285714285714285,9.971469609851647,-11.227080169160935,9.971469609851647,8.384489062638682,False,Does not meet criteria,
PNW,4,-3.084372764542498,-14.550918904495191,25.0,1.8280897766790518,-12.471860338093189,1.8280897766790518,7.925605542729224,False,Does not meet criteria,
ROP,5,-3.148491830978206,-14.834293244934033,40.0,10.326297666461045,-11.14796153904507,16.021200438694674,12.617870665480838,False,Does not meet criteria,
HD,5,-3.3252453206656485,-15.611561161804167,40.0,12.064763527960903,-12.500072768461996,15.74510218542223,13.915116555313935,False,Does not meet criteria,
O,4,-3.3619471473331886,-15.77224173755645,25.0,10.778533859290148,-9.446918700484645,10.778533859290148,10.59972501772526,False,Does not meet criteria,
CPB,3,-3.617104448622721,-16.8825609420776,33.33333333333333,1.6612552330270876,-9.580622895753441,1.6612552330270876,6.719205108398137,False,Does not meet criteria,
PFG,7,-3.6457452341402186,-17.006456268882648,28.57142857142857,17.689171994899453,-11.342859894780611,32.79962141443073,16.78996175355414,False,Does not meet criteria,
CSX,5,-3.7775702465679073,-17.57480428075787,20.0,1.1862231334536268,-7.75631763276064,1.1862231334536268,5.269180045751473,False,Does not meet criteria,
