Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Market_Cap_2020,Qualifies
GILD,46.7547492980957,37.52971420337678,13716300.793650793,-9.626410889475691,58007664732.620895,True
MMM,121.08012390136719,37.47136574847056,3998323.8928571427,0.32946436863241274,64320794631.34973,True
BAX,71.17357635498047,37.05647845355211,3132088.888888889,-6.719354823227132,36587190087.88845,True
PGR,82.99909973144531,37.0092475036582,3023130.9523809524,35.741957895237256,48654072262.57324,True
PEP,126.25836944580078,36.65818500560575,5060782.936507937,11.6204410322593,172638134281.5423,True
EA,138.29840087890625,36.48926149525346,2959463.095238095,32.51287221675823,34589277690.71344,True
MO,27.594945907592773,36.42639932845449,9867857.53968254,-9.585261566068596,46322850674.05481,True
MMC,106.82247161865234,36.4113413864875,2124823.9166666665,4.43941363279509,52333363207.97047,True
PCAR,47.52596664428711,36.3448099450132,2795744.0476190476,10.636138077528301,24960844847.268192,True
PFE,28.788097381591797,35.86487490577219,33885358.1984127,2.9786058774938873,163680702690.2279,True
T,15.195931434631348,35.75812878840928,52669548.02380952,-19.953118530513443,107730788435.30183,True
ABBV,86.62451934814453,34.96231107328696,9462549.603174603,24.062232774010376,153098844250.2973,True
WM,108.08051300048828,34.84974224550417,2098631.746031746,4.330860043836208,43542077543.073875,True
KO,46.837337493896484,34.747360377203876,17034414.682539683,2.387638692620611,201475905239.99524,True
MDLZ,51.14352035522461,34.14910277306534,6979584.523809524,9.197387857174972,65993475801.13893,True
CAG,28.843894958496094,33.868778796931785,3686806.3492063493,10.273688613373542,13798038888.250923,True
DHR,191.39076232910156,33.63764185411182,3172699.634920635,42.86400123558203,135188781333.39775,True
PG,121.56938934326172,32.55153139200043,8016309.126984127,14.393244985226977,284075270609.8427,True
CPB,39.859371185302734,32.3205046548118,2412821.8253968256,1.9484357602293878,11883443534.504986,True
KR,28.360551834106445,32.078397828277936,10120848.412698412,12.435119030425264,17947951405.350723,True
MRK,65.61144256591797,31.914592974980057,10781255.099206349,-9.660135485273196,162849079068.07806,True
CL,75.31930541992188,31.853467837417863,4134142.8571428573,27.34056811895101,60712251554.78961,True
K,48.36506652832031,31.700350764054452,2331768.242063492,-5.539183700655769,16827784748.95839,True
WMT,44.902645111083984,31.622443661793763,27220890.476190478,23.244371478738675,357881578660.5777,True
GIS,48.58346176147461,30.86818437717429,3976517.8571428573,16.23612322804402,25923264628.871548,True
JNJ,135.38723754882812,30.378484025279008,8054418.650793651,9.811868138450704,326187808299.7021,True
HRL,39.5654411315918,30.242733972068237,2224358.73015873,6.9005273062731005,21765237796.381702,True
BMY,50.37321090698242,29.73437444200389,13192633.333333334,0.06617763067259297,102547416583.59888,True
COST,354.2953186035156,29.237721571425684,2759551.587301587,32.94506750631056,157260854388.59982,True
