Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
CAH,46.97506332397461,46.03677333033438,2528888.095238095,10.017291170299712,4.344050979679389,31.880193325912288,1.033952921575036,,1.205,,22.400000000000002,50780594176,Healthcare,True
CAT,163.71131896972656,44.99879498868503,3886261.111111111,23.207084078473684,42.887774075321765,49.93904110429699,4.596231979671621,46.283,17.746000000000002,2.01046,9.5,302880980992,Industrials,True
CB,141.57261657714844,48.41906146951725,2273955.1587301586,-0.1317604601078281,22.412685285994975,48.89660412518649,4.915655618846248,13.639999999999999,25.623,0.30957999999999997,9.1,119890157568,Financial Services,True
CCI,124.05680847167969,42.80580033426133,2174230.9523809524,13.836764494723761,-6.910206711837269,47.706667658818475,-2.2818542031346944,-206.679,49.254,,-4.3,39456575488,Real Estate,True
CCL,21.790000915527344,121.28319599271215,45605743.65079365,-57.03699480588599,37.216629461557766,43.818684521683906,18.017272028806055,25.632998,11.5959994,2.27882,6.6000000000000005,38779027456,Consumer Cyclical,True
CDNS,135.25,46.307082222226505,1866898.8095238095,89.31970237673146,38.264159090113196,90.29362264448004,14.241261132094248,21.736,35.089,0.47685,10.100000000000001,87349387264,Technology,False
CE,118.74591064453125,53.62482118691949,935280.5555555555,9.472063680093788,48.226074261298784,46.71726820734739,2.4127668816531984,-50.507999999999996,9.053001,3.0153,-8.6,5183950848,Basic Materials,False
CFG,28.616649627685547,76.45294844347703,5500743.650793651,-7.988385587884863,53.475077710014986,46.93572369738985,9.635289681156406,6.7140006,32.026002,,13.600000000000001,26174257152,Financial Services,True
CHD,81.71843719482422,32.956006217480606,1631686.111111111,25.27931113332113,11.341293164115896,51.821973810423835,-0.8844626831938197,18.594,16.057,0.56855,5.0,21997867008,Consumer Defensive,False
CHTR,653.489990234375,35.11216937046663,1248536.111111111,33.248373874717565,26.231912370828336,54.52707825464959,2.5890823825406217,31.326999999999998,23.858999,4.97907,-0.8999999999999999,26591533056,Communication Services,False
