Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
COST,354.29534912109375,29.237763976918647,2759551.587301587,32.94506373365434,26.193751112798108,50.25582541590965,1.4497569662454741,30.325000000000003,3.659,0.26968,8.3,424756510720,Consumer Defensive,True
CPB,39.859371185302734,32.32051151928761,2412821.8253968256,1.9484158662950994,-1.2355837145302546,58.14965755019324,-0.340381124988493,14.815000000000001,14.232,1.8456700000000001,-3.4000000000000004,8019810816,Consumer Defensive,True
CRM,219.730224609375,53.06032049588487,7529498.015873016,33.18161980000339,15.51445591191528,53.41041813332904,-7.217817886067725,12.184000000000001,23.862,0.19385000000000002,8.6,222173003776,Technology,True
CSCO,38.176109313964844,42.015252120867096,25068138.492063493,-5.673570490066525,-1.621176119701711,47.15451855010353,7.296542684064641,22.418,23.604,0.6322800000000001,7.5,297319858176,Technology,True
CSX,28.151708602905273,46.09246307333839,13323698.80952381,25.06322599100656,32.00045360725535,44.243404910677214,2.749252007442676,22.589001,35.071000000000005,1.55283,-0.8999999999999999,67673251840,Industrials,True
CTVA,36.37051010131836,50.835997251576345,4645021.031746032,36.30176231543608,40.61698371807554,45.043500576361595,5.0657517803292516,6.705,-10.313,0.17175,12.6,47845994496,Basic Materials,True
CVS,57.6177978515625,39.64139370358482,8726850.396825397,-5.739942351199369,6.427305473641236,15.83913996464591,1.8267229343958802,0.57800002,2.2650002,1.11821,7.8,103249289216,Healthcare,True
CVX,68.99396514892578,61.25705944015056,11212182.936507937,-25.74737869072767,-0.5392092543468288,33.000662328571465,3.3665432117324916,7.316000000000001,9.8529994,0.21239,-1.4000000000000001,334641856512,Energy,True
D,59.44599914550781,45.036471720620256,4133473.8095238097,-5.802504210153452,-8.649395060784679,48.3287209530914,-5.939472127706997,9.203999999999999,34.504002,1.54315,14.899999999999999,51516588032,Utilities,True
DD,26.719682693481445,51.22819169007124,13780945.805555556,13.228308449142226,32.18583568271721,60.96389699181234,10.702792840296574,3.2169999999999996,17.773001,0.39673,7.3,18179088384,Basic Materials,True
DE,249.3389129638672,45.67740207232086,1753076.1904761905,53.074367931551414,69.62116045561227,65.50701550663823,5.854645167174671,20.427999,12.385,2.4841800000000003,12.6,139379458048,Industrials,False
