Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified,Composite_Score
CTVA,36.37051010131836,50.835997251576345,4645021.031746032,36.30176231543608,40.61698371807554,45.043500576361595,5.0657517803292516,6.705,-10.313,0.17175,12.6,47845994496,Basic Materials,True,61.54257108947915
CVS,57.6177978515625,39.64139370358482,8726850.396825397,-5.739942351199369,6.427305473641236,15.83913996464591,1.8267229343958802,0.57800002,2.2650002,1.11821,7.8,103249289216,Healthcare,True,42.813242973824366
CVX,68.99396514892578,61.25705944015056,11212182.936507937,-25.74737869072767,-0.5392092543468288,33.000662328571465,3.3665432117324916,7.316000000000001,9.8529994,0.21239,-1.4000000000000001,334641856512,Energy,True,33.15197664324216
D,59.44599914550781,45.036471720620256,4133473.8095238097,-5.802504210153452,-8.649395060784679,48.3287209530914,-5.939472127706997,9.203999999999999,34.504002,1.54315,14.899999999999999,51516588032,Utilities,True,30.11021208177367
DD,26.719682693481445,51.22819169007124,13780945.805555556,13.228308449142226,32.18583568271721,60.96389699181234,10.702792840296574,3.2169999999999996,17.773001,0.39673,7.3,18179088384,Basic Materials,True,69.34389367321995
DECK,47.66666793823242,58.3421370030722,2618459.523809524,66.11489264741189,47.27084946034805,39.13967974201342,5.784178160936464,43.312,22.82,0.1422,9.1,15294199808,Consumer Cyclical,True,72.97122309103423
DHI,66.71874237060547,59.499920989913534,4070794.0476190476,34.996371907254506,30.386621628774353,51.10639452011738,-2.2762846480135384,14.321,12.4680005,0.24514,-3.2,47007141888,Consumer Cyclical,True,73.15997787717579
DHR,191.3907470703125,33.63763774269908,3172699.634920635,42.86397357349121,23.02737374818286,45.375262944434716,-2.840218511457638,6.843000000000001,20.75,0.35544,4.3999999999999995,171780767744,Healthcare,True,50.93222544204718
DIS,177.001708984375,49.15190260806922,14657105.952380951,22.24697844045099,61.49938463080633,76.4543189671636,22.661791273890724,12.203,11.867999999999999,0.39632,-0.5,203966595072,Communication Services,True,70.26253273025938
DLR,116.36262512207031,43.51798927086479,2296255.5555555555,21.130820392069158,-5.355950201157395,79.02935798813841,-0.5282053164649789,5.825,13.333,0.7924800000000001,11.1,56131076096,Real Estate,True,34.68503699584214
DOW,42.25742721557617,62.13559579040785,5471063.492063492,9.789096503924547,37.12817818653614,55.3360805099562,6.579378148480965,-5.287,1.905,1.02943,-8.3,19855286272,Basic Materials,True,69.3979668213142
DRI,99.64261627197266,82.91227579070528,2657078.9682539683,5.840913461534565,57.66064317265385,57.99603172795654,8.440572177133017,54.104,10.392999999999999,4.01269,7.3,24930691072,Consumer Cyclical,True,81.21543722139748
DUK,74.44337463378906,41.48997480855075,3714948.8095238097,4.62512832269187,13.057156685115496,45.86237751936048,-1.9017538078039655,9.905,27.125,1.7034399999999998,4.8,92471705600,Utilities,True,48.145771288951956
DVN,12.45552921295166,96.84462666216994,9977562.301587302,-33.52615168813824,49.530425081823125,54.340837354420806,24.268893415951005,18.586999000000002,24.194999,0.56274,7.1,23057713152,Energy,True,85.11649546540758
DXCM,90.69249725341797,55.42273744599417,4955322.222222222,65.36146455437215,-10.943909763564626,72.49616660645711,4.403615587112212,30.635,20.053,0.94479,21.6,27152830464,Healthcare,True,41.01836648487837
EA,138.29840087890625,36.48927056438156,2959463.095238095,32.5128528427722,6.275633718161072,71.18315188131842,10.677859350284479,13.200999999999999,10.875,0.3665,-9.2,51059163136,Communication Services,True,49.85481261710738
ECL,203.79086303710938,48.71427567794202,2014084.9206349207,14.21609936488449,7.61924799374831,33.27869451921289,2.2284508050900063,21.869,14.715,1.03915,17.8,78745616384,Basic Materials,True,50.44962118669792
ED,59.36248016357422,41.189082600662665,2317893.6507936507,-16.951173654700227,-1.8728910010643485,30.22097579655403,-7.2317823223029905,8.839,25.342,1.10373,10.7,37016473600,Utilities,True,29.032943128185547
EIX,48.71299362182617,45.33072858816775,2402655.9523809524,-13.216829296238993,13.557226539295803,45.29521299196575,1.2656051795739216,15.765001000000002,32.557,2.0402,10.6,23678836736,Utilities,True,52.47121727433487
EMR,71.94348907470703,53.963457832393935,3494837.698412698,6.166924246700838,31.265922720684912,41.523841463218005,5.602134794838721,9.363000000000001,20.721,0.67785,5.1,83226329088,Industrials,True,60.74272955341276
EOG,39.72370529174805,74.92731028302136,5505530.158730159,-38.067482590099345,1.891902126217676,41.57303524028552,12.252787129891104,18.476999,33.223,0.26835000000000003,-2.4,58997317632,Energy,True,54.92559794235481
EQR,48.26151657104492,50.953473724344654,2712636.111111111,-23.71326435721738,-1.531647444474375,40.86951075744179,3.280231821936255,10.444,28.955,0.76237,4.6,24070244352,Real Estate,True,33.2669726428165
ETN,109.93546295166016,51.84257143282254,2341219.8412698414,27.422993309025674,37.11390785733949,54.55723828780181,4.300048992600603,20.653,19.791001,0.59661,10.100000000000001,129815977984,Industrials,True,72.51592000119031
ETR,41.01416778564453,46.958553787541305,2755807.9365079366,-13.414811022641077,3.6761001898481758,30.41721382880138,-6.118502675996288,11.187999999999999,30.055,1.79362,12.5,42725924864,Utilities,True,46.48644515543565
EW,89.63999938964844,44.36265887997046,3446259.523809524,15.664515341481856,29.556288808575093,65.05550865743697,8.127146693256513,13.492,27.371000000000002,0.06862,14.7,49592340480,Healthcare,True,68.69968889067927
EXC,25.054121017456055,49.105219890266596,8617023.575396825,-4.189154059722081,14.013607603259388,58.71360652296143,0.32730658386271577,10.308,22.177,1.77601,9.0,44590940160,Utilities,True,62.256265370904345
F,6.722535610198975,56.606318935166925,76852921.82539682,-4.345241039400807,46.446256319037296,32.54437803811439,2.6127870964228688,10.295,3.1460000000000004,3.46673,9.4,55006007296,Consumer Cyclical,True,69.07289746136539
FANG,39.8881721496582,103.54751925461996,3565738.888888889,-44.90521951300732,20.960164894911653,55.11063964268806,28.149453140580256,10.901,36.628,0.3566,42.0,43660296192,Energy,True,80.97338783874942
FAST,21.744281768798828,39.070459076453716,8484137.301587302,36.24134902558039,13.578421878599055,45.40971275511788,3.933963155172081,32.742,20.696,0.13283,11.700000000000001,49973993472,Industrials,True,50.72893948070657
FCX,24.829925537109375,71.9527211756192,23312412.698412698,101.73033935955655,130.6956276569672,67.10748016457157,21.945621439223313,14.538999,28.055000000000003,0.30589,2.7,86129704960,Basic Materials,True,76.64676192917338
FDX,236.15667724609375,52.59600212477643,3075817.4603174604,70.13640141238342,68.06506563889535,15.866065990200198,-6.714099534353707,15.886,7.64,,13.900000000000002,73876471808,Industrials,True,71.2268805949374
